"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nvec_vc1.1_XM_032374162.2",2514.55274858563,-0.159020695728534,0.107577701172878,-1.47819384495851,0.139355900904713,0.249944496524853
"Nvec_vc1.1_XM_001626535.3",249.094455935944,0.204138324668154,0.135581291925029,1.50565259977781,0.132156378010454,0.240413442027078
"Nvec_vc1.1_XM_001626549.3",526.717486271536,-0.293811728822968,0.106005308546639,-2.771669955507,0.00557695504588585,0.0169591840780402
"Nvec_vc1.1_XM_032374171.2",376.41945870631,-0.112731861573997,0.112479359065909,-1.0022448786176,0.316225337457404,0.462938115642423
"Nvec_vc1.1_XM_001626548.3",9174.22233428236,-0.0873185061263017,0.0979132682679692,-0.891794418375743,0.372503134002436,0.522680150723647
"Nvec_vc1.1_XM_032374170.2",243.512746397493,-0.244615365770664,0.138611666012965,-1.76475308902055,0.0776052718755493,0.157537270075781
"Nvec_vc1.1_XM_048724591.1",812.773677699016,-0.399601262876268,0.195445281789109,-2.04456848084698,0.0408974195704004,0.0931261381603064
"Nvec_vc1.1_XM_001626546.3",1809.60424795602,0.0979519417253227,0.10097850363098,0.970027661365254,0.332032704357782,0.480735965260665
"Nvec_vc1.1_XM_032374190.2",485.032611149827,0.00381478711698549,0.113866228956187,0.0335023575642724,0.973273985824321,0.983841239894813
"Nvec_vc1.1_XM_032374192.2",941.085288306967,-0.153352087449706,0.0990113242864242,-1.54883381830227,0.121421673668641,0.224858735878682
"Nvec_vc1.1_XM_001626530.3",1332.00578337244,-0.101821953736389,0.0739512487257674,-1.37687943734356,0.168549525593847,0.289420550935306
"Nvec_vc1.1_XM_032374174.2",526.999943740622,-0.000218907038833273,0.137385020843125,-0.0015933835980797,0.998728664365615,0.999523559266191
"Nvec_vc1.1_XM_032374172.2",685.113092617657,0.554815951718134,0.0912663630449351,6.07908470555543,1.20870499478266e-09,1.138472056081e-08
"Nvec_v1g125757",699.532867452586,-0.190547271677776,0.10911367734182,-1.74631885130998,0.0807555619450687,0.162680785817628
"Nvec_vc1.1_XM_032374182.2",2981.13379333667,-0.44245942918962,0.188246623520815,-2.35042425151757,0.0187520239973118,0.048725085624639
"Nvec_vc1.1_XM_032374183.2",85.3392902257234,-0.584290988510203,0.186618941388011,-3.13093078421963,0.0017425322468234,0.00609972910580216
"Nvec_vc1.1_XM_001626528.3",419.953897525647,-0.0556885910804925,0.123096530969093,-0.452397729181133,0.650982482577116,0.768375947661202
"Nvec_vc1.1_XM_001626541.3",5.95713439015198,0.919632239313083,0.635985405691132,1.44599582173385,0.148178373743263,0.262295836236944
"Nvec_vc1.1_XM_032374187.2",1057.22376407179,-0.327471850155099,0.170121110436893,-1.92493365058639,0.0542376594005382,0.117282859118914
"Nvec_vc1.1_XM_032374184.2",637.916978787955,2.06270736074073,0.25008938481101,8.24788050200329,1.61228469853325e-16,3.09854364988858e-15
"Nvec_vc1.1_XM_032374180.2",404.678100666006,0.0237647643067101,0.13146484407432,0.180768968875628,0.856548921048936,0.911594656075538
"Nvec_vc1.1_XM_032374179.2",1594.47824683691,-0.00923976180870886,0.113731571266668,-0.081241837299902,0.935249628106274,0.961465455102946
"Nvec_vc1.1_XM_048725220.1",935.690849666498,-0.107156246511301,0.0931616158227015,-1.15021884887906,0.25005374477371,0.389340292571929
"Nvec_vc1.1_XM_048725245.1",2297.84355963596,-0.559155739168005,0.0785793970282188,-7.11580592769381,1.11260760585397e-12,1.46824170115842e-11
"Nvec_NVE16061",56.3136889981882,-0.162712506973711,0.219824550904227,-0.740192604986153,0.459183134080819,0.607042360815542
"Nvec_vc1.1_XM_032386191.2",8274.36735284866,-0.0119923129220077,0.0884931309314109,-0.135516879059265,0.89220321979971,0.934749567265373
"Nvec_vc1.1_XM_032386195.2",137.74861760531,-0.805661764569837,0.261176724971111,-3.08473798597081,0.00203731544299482,0.00701171086187308
"Nvec_vc1.1_XM_001636328.3",81.280021792014,0.0562845263875235,0.29480086264872,0.190923886320479,0.848585225817679,0.906572719296732
"Nvec_vc1.1_XM_001636367.3",305.434159094769,-0.542943858316078,0.200797001197135,-2.70394405832304,0.00685218239904004,0.0203073769280641
"Nvec_vc1.1_XM_048727259.1",1026.70254986174,-0.0688265339792261,0.092990782506888,-0.740143615568866,0.459212856111144,0.607042360815542
"Nvec_vc1.1_XM_048727258.1",472.953586638412,0.113305659491415,0.111402394950793,1.01708459267382,0.309113189119368,0.4554807551065
"Nvec_vc1.1_XM_048728918.1",1737.62543487255,-0.189964439553719,0.0795663325225417,-2.38749774598321,0.016963506779114,0.044751322244796
"Nvec_vc1.1_XM_048728963.1",6.45283070496842,0.919166679749399,0.59645454245982,1.54105068251923,0.123304451362568,0.227456806749627
"Nvec_vc1.1_XM_032386215.2",526.212285866624,-0.772394692189195,0.136527454907777,-5.6574312669268,1.53655319278364e-08,1.28196599079446e-07
"Nvec_NVE16072",81.3680803572135,0.331870891877991,0.269660701115411,1.23069802349863,0.218435827607596,0.351554087368121
"Nvec_vc1.1_XM_048728955.1",1219.90920065864,0.11674703174628,0.0993967077922307,1.17455632424282,0.240172265539691,0.377566758578383
"Nvec_vc1.1_XM_048728924.1",636.70251033015,-0.578438232874831,0.09030176160426,-6.40561405003137,1.4976538185971e-10,1.58251487530513e-09
"Nvec_vc1.1_XM_001636334.3",473.800433153154,-0.0235076833223806,0.127896990396455,-0.183801692670887,0.854169028202889,0.909886940123664
"Nvec_vc1.1_XM_001636372.3",312.908476120397,-0.124596296688527,0.108222784826249,-1.15129449762881,0.249611100059323,0.388932006146603
"Nvec_vc1.1_XM_032386135.2",985.3283235538,-0.243873872184341,0.105222074141423,-2.31770637648298,0.0204652842468095,0.0523954135952347
"Nvec_vc1.1_XM_048728947.1",17.86480955833,0.0103977148238671,0.391675528937691,0.0265467563216625,0.978821240572908,0.987410711695087
"Nvec_vc1.1_XM_048729864.1",972.615183848822,0.313305009050091,0.109734100770612,2.85512896036779,0.00430193568844043,0.013574345914914
"Nvec_vc1.1_XM_032386169.2",281.711227460745,-0.0638175979545683,0.11018749366795,-0.579172788400856,0.562472589896543,0.696632856531052
"Nvec_vc1.1_XM_048728415.1",867.013285691575,-0.0841204182793716,0.0871231245299187,-0.96553491088906,0.334276958819157,0.482820116758488
"Nvec_vc1.1_XM_032386115.2",7.47621785688148,0.00579546724205263,0.595163732868149,0.00973760147333531,0.992230640908283,0.995857746858008
"Nvec_vc1.1_XM_048728255.1",629.486443170101,0.122259186604739,0.0896110898205116,1.36433098681894,0.172463417618263,0.294133501622932
"Nvec_vc1.1_XM_032386189.2",31.7096947502656,2.12857017328414,0.35403994524942,6.01223167567877,1.82986554416145e-09,1.69185677728036e-08
"Nvec_vc1.1_XM_032386201.2",79.860153245791,-0.16532903126241,0.188282904833436,-0.878088381994469,0.379895757337693,0.530684408202884
