"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nvec_vc1.1_XM_032374162.2",479.103201102225,-0.090854320051374,0.136368555065609,-0.666240982077301,0.505257081866278,0.690414859918425
"Nvec_vc1.1_XM_001626535.3",54.0534143879424,0.076250766413011,0.277984501554989,0.274298624514963,0.783855141468798,0.883043910804686
"Nvec_vc1.1_XM_001626549.3",139.557179564104,-0.206642787031785,0.193311709593851,-1.06896156195578,0.285086990004845,0.484709511081789
"Nvec_vc1.1_XM_032374171.2",124.552141185458,-0.159324550537625,0.19915602176385,-0.799998659977976,0.423711573553331,0.620838888159354
"Nvec_vc1.1_XM_001626548.3",2983.53178413925,-0.0993283812478652,0.106317906265441,-0.93425825184964,0.35017069385389,0.55336590115889
"Nvec_vc1.1_XM_032374170.2",33.2293410564434,-0.224682817371438,0.367823739209674,-0.610843709691504,0.541303053358387,0.71775663761389
"Nvec_vc1.1_XM_048724591.1",182.081793058236,0.454808481491636,0.187094675274437,2.43090018903267,0.015061362980112,0.0572627342840561
"Nvec_vc1.1_XM_001626546.3",1478.98833700241,0.701443818033453,0.119367603682457,5.87633324615816,4.19453519648469e-09,1.41933611313705e-07
"Nvec_vc1.1_XM_032374190.2",80.5293948896476,-0.426381169749112,0.245292587521293,-1.73825542001794,0.0821658177571068,0.206044221129666
"Nvec_vc1.1_XM_032374192.2",204.234987038155,-0.184312266028688,0.182388533854243,-1.01054744031213,0.312233082696016,0.514332556809424
"Nvec_vc1.1_XM_001626530.3",306.816197887869,-0.411458760284617,0.150579028185488,-2.73251039831236,0.00628536874140901,0.0292515975718229
"Nvec_vc1.1_XM_032374174.2",182.704304579786,0.0881452544758154,0.180864171000714,0.487356085995978,0.626006008030314,0.780784217198574
"Nvec_vc1.1_XM_032374172.2",332.52883858423,0.511469689835489,0.142624932897084,3.58611695336999,0.000335638476756091,0.00280015669701611
"Nvec_v1g125757",128.154740767663,-0.508816973865023,0.196381057207438,-2.59096768853606,0.00957064770599609,0.0402996246699435
"Nvec_vc1.1_XM_032374182.2",1527.76079410792,-0.578547673777965,0.112503856230227,-5.14246971760709,2.71150157970908e-07,5.93266876095337e-06
