"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nvec_vc1.1_XM_001636362.3"	9.48433152554515	-2.0779323943514	0.716349840266382	-2.90072291155771	0.00372302930756808	0.0195025281230665
"Nvec_vc1.1_XM_001635315.3"	88.0264637525773	-1.18281407171841	0.293980047111485	-4.02345017405165	5.735172194614e-05	0.000638807946790402
"Nvec_vc1.1_XM_001635277.3"	61.5281654729242	-1.18718769230774	0.304240784630796	-3.9021319700724	9.53491453908432e-05	0.000973658922246995
"Nvec_vc1.1_XM_001630249.3"	73.9032604518074	-1.28338580132287	0.25756504032757	-4.98276396397068	6.26823949113903e-07	1.24898276734807e-05
"Nvec_vc1.1_XM_048724756.1"	6.56305866639308	-3.59834560036909	1.06437483477514	-3.38071277411333	0.000722980746114419	0.00524793513733897
"Nvec_vc1.1_XM_001630259.3"	84.4558013409206	-1.04602373329683	0.329160905438725	-3.17784924033621	0.00148371878612866	0.00939282112536559
"Nvec_vc1.1_XM_001637142.3"	8.75968212482334	-2.18717520073851	0.814307523788577	-2.68593269353899	0.00723276570333244	0.0326186692865186
"Nvec_vc1.1_XM_001637090.3"	24.0446389092433	-1.25539334210908	0.453233951904772	-2.76985723781974	0.00560808674580564	0.0268582895643946
"Nvec_vc1.1_XM_001637163.3"	11.6411335477584	-1.94573352271675	0.674332662773093	-2.88542084661183	0.00390890742232902	0.0202244068144043
"Nvec_vc1.1_XM_001637170.3"	83.66573966307	-1.03170328514803	0.265770626029083	-3.88193119970726	0.000103630199579446	0.00104876610914593
"Nvec_vc1.1_XM_001637125.3"	82.5913440425036	-1.34188815440822	0.286916693030424	-4.67692604510094	2.91207219500854e-06	4.78574364637285e-05
"Nvec_vc1.1_XM_001631087.3"	172.195327491403	-1.48360254701248	0.196635468285629	-7.54493866212085	4.52500423373557e-14	4.59521981667285e-12
"Nvec_vc1.1_XM_048724412.1"	25.2371787876905	-1.37766929364291	0.438341575745371	-3.14291267329656	0.00167275736351478	0.0103232825556392
"Nvec_vc1.1_XM_032363929.2"	100.009381958104	-1.54650451062265	0.307117644178572	-5.03554432621083	4.76492845689614e-07	9.75849395379634e-06
"Nvec_vc1.1_XM_048726967.1"	24.7010389179951	-1.31385241177346	0.415251936180121	-3.16398864713195	0.00155622865861817	0.00975956856820809
