"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nvec_vc1.1_XM_032386195.2"	205.125311239318	1.78742405536387	0.196469273751927	9.09772821586731	9.22409822141588e-20	1.91302600437111e-17
"Nvec_vc1.1_XM_001636352.3"	469.997515598797	1.32801377819763	0.135704318785016	9.78608337662034	1.29204081134745e-22	3.88271447899821e-20
"Nvec_NVE16126"	26.7000157897467	1.35772194063645	0.447271598247533	3.03556484685407	0.00240085589570867	0.0138150070591286
"Nvec_vc1.1_XM_048732006.1"	57.2523438971133	1.07252677065355	0.289756916080612	3.70147082306454	0.0002143533080682	0.00193760126538014
"Nvec_v1g241660"	34.8478836136881	2.1358742596268	0.446017042894785	4.78877274680881	1.67804378228451e-06	2.93807309086082e-05
"Nvec_vc1.1_XM_048727408.1"	50.226298739579	1.14671269256752	0.367274919866061	3.12221888983245	0.00179493430320855	0.0109469765258477
"Nvec_vc1.1_XM_048729618.1"	19.96572210496	1.15020009384626	0.453621820229746	2.53559251903648	0.0112257271093505	0.0457258178935507
"Nvec_vc1.1_XM_032378771.2"	147.470567187177	1.51844175956922	0.219746444679157	6.9099719077878	4.84749688510462e-12	3.2593329512861e-10
"Nvec_vc1.1_XM_032387219.2"	279.056482625767	2.18062368361608	0.176655364330104	12.3439426359072	5.25196889840755e-35	4.07027589626585e-32
"Nvec_vc1.1_XM_048731186.1"	52.8566489404021	1.09747149554668	0.303732721552348	3.61328041950044	0.000302347409427644	0.00259142351794067
"Nvec_vc1.1_XM_032379813.2"	38.002507229536	1.15542957601873	0.336149067056631	3.43725355579842	0.000587645213235211	0.00443177800459879
"Nvec_vc1.1_XM_032379840.2"	12.6819307229663	1.62769637274203	0.611703445783985	2.66092398851195	0.00779265469178055	0.0345207100891903
"Nvec_vc1.1_XM_048723402.1"	130.657929793392	1.4730320171618	0.278672417367309	5.28589097937254	1.25094381857537e-07	2.94722363656356e-06
"Nvec_vc1.1_XM_048723456.1"	58.2155694628639	1.96312543376112	0.310925252522725	6.31381792837055	2.7223420289694e-10	1.26058133259668e-08
"Nvec_vc1.1_XM_032363877.2"	9.20968444855689	1.96720954484702	0.759170532841185	2.59126172545813	0.00956247355955663	0.0402882469712364
"Nvec_vc1.1_XM_048728457.1"	23.5701593458806	1.56914714912145	0.473691081974906	3.31259592766531	0.000924344206618639	0.00640214884405431
"Nvec_vc1.1_XM_001638970.3"	54.7583571165068	1.0048705395522	0.282798129905858	3.5533139483161	0.000380410177508336	0.00310870648230523
"Nvec_vc1.1_XM_048729646.1"	71.9771112581211	1.93286903856236	0.28622643820627	6.75293676808931	1.4488209527262e-11	8.70770960362989e-10
"Nvec_vc1.1_XM_048729683.1"	48.3017583006748	1.51758330036161	0.377114473272474	4.02419797679077	5.71698098811778e-05	0.000637263777820093
"Nvec_vc1.1_XM_048729684.1"	48.9740430407982	1.50868520212031	0.345029757388522	4.37262343265497	1.22762367885649e-05	0.000169416669832819
"Nvec_vc1.1_XM_048733319.1"	355.904664424018	1.97661100300586	0.448860175604148	4.40362302212581	1.06457869001713e-05	0.000149579400863571
"Nvec_vc1.1_XM_032363957.2"	325.905830399996	1.72532656223077	0.172364991807839	10.0097272893689	1.38132782758354e-23	4.93065281542592e-21
"Nvec_vc1.1_XM_032363955.2"	31.9639615341649	1.3358154404081	0.41906024196502	3.18764537085243	0.00143436336114596	0.00915518010094247
"Nvec_vc1.1_XM_048727883.1"	449.1862929837	1.41663822611393	0.349638774056719	4.05171946371176	5.08426047317319e-05	0.000578113787393632
"Nvec_vc1.1_XM_048728453.1"	446.903584994264	1.01751502743018	0.156793622111668	6.48951796461153	8.6111438940262e-11	4.44909101191354e-09
"Nvec_vc1.1_XM_032365556.2"	86.7688299084194	1.1515073576174	0.257477631925271	4.47226172233714	7.7396619281742e-06	0.000113852669223142
"Nvec_vc1.1_XM_001640236.3"	147.77772640072	1.56175174001725	0.197297946534494	7.91570194950919	2.45861962042927e-15	3.09428836844624e-13
"Nvec_vc1.1_XM_001640232.3"	2019.91039474671	1.10927353605295	0.134485176613743	8.24829593851011	1.60669086137186e-16	2.49037083512638e-14
"Nvec_vc1.1_XM_048730108.1"	41.5923098453589	1.60792177396704	0.333274176624235	4.8246215481014	1.40269354638636e-06	2.50492731337615e-05
"Nvec_vc1.1_XM_048721182.1"	48.5389978629528	1.89078648252865	0.317292888932505	5.9591202591712	2.53599429437242e-09	9.13019950724546e-08
"Nvec_vc1.1_XM_032365468.2"	54.7430097193333	1.18228732053246	0.298383873888577	3.96230300627423	7.42302485204728e-05	0.000794360762691833
"Nvec_vc1.1_XM_048727961.1"	1023.52455887896	1.46510884299803	0.114350110185989	12.8124830016783	1.39595014717988e-37	1.46824042265884e-34
"Nvec_vc1.1_XM_032376197.2"	25.4114264713045	1.26613904697719	0.403716122419397	3.13621125505081	0.00171145873422504	0.0105268295160667
"Nvec_vc1.1_XM_048728019.1"	67.8457529706709	1.97695350507703	0.617056750744231	3.20384389716606	0.00135605980387359	0.00875404673916639
"Nvec_vc1.1_XM_048728010.1"	283.48749714666	2.25126758887762	0.234347051718728	9.6065539223411	7.50177050022427e-22	1.9379573792246e-19
"Nvec_vc1.1_XM_032361845.2"	25.339952969283	1.65572101263381	0.448992683613087	3.68763472783134	0.000226348255255209	0.00202982829392994
"Nvec_NVE13164"	14.8172111074014	1.48117749004559	0.534756414732719	2.76981715270478	0.00560877693789565	0.0268582895643946
"Nvec_vc1.1_XM_048724032.1"	9.03804654781452	1.78329514905152	0.698467927196556	2.55315252084536	0.0106752737747594	0.0438597673921127
"Nvec_vc1.1_XM_032361849.2"	211.967614516365	1.48540427450616	0.201163240417697	7.38407410529802	1.53517929005397e-13	1.40406925751831e-11
"Nvec_vc1.1_XM_032370690.2"	14.3634835644316	1.60824927055425	0.568768871609553	2.82759720306613	0.00468987750640456	0.0233148029310625
"Nvec_vc1.1_XM_001631520.3"	27.4829871767013	1.49193689443308	0.441149078614217	3.38193360647994	0.000719775386752589	0.00523232587986959
"Nvec_vc1.1_XM_048728422.1"	1959.53992721027	1.28400651977715	0.290760952793054	4.41602115911011	1.0053424784635e-05	0.00014261722538897
"Nvec_vc1.1_XM_048728423.1"	141.909638285385	1.13585083557575	0.218605744863262	5.19588740124936	2.0374555940083e-07	4.57340451551406e-06
"Nvec_vc1.1_XM_001623361.3"	26.2281679092738	1.17287776747969	0.410211389413318	2.85920332235809	0.00424706474916605	0.021609546797329
"Nvec_vc1.1_XM_001634592.3"	110.055521097645	1.50703639666233	0.274288401811719	5.49434969436591	3.92152753649974e-08	1.04989987227198e-06
"Nvec_vc1.1_XM_032381688.2"	115.6653564195	1.68121770272202	0.244796567934984	6.86781565977079	6.51923850410435e-12	4.24760119349277e-10
"Nvec_NVE24486"	41.5235544976472	2.44818271509207	0.362762661269945	6.74871748520525	1.49157694976648e-11	8.92824007532983e-10
"Nvec_vc1.1_XM_048726161.1"	443.873241369152	2.3483565057331	0.156017928105568	15.0518375307747	3.35776501304828e-51	7.06329854530512e-48
"Nvec_v1g213132"	512.284372619761	1.58515366453505	0.162916716741926	9.7298404745418	2.24945449874062e-22	6.24966367810483e-20
"Nvec_vc1.1_XM_001628271.3"	508.635597162583	1.34404811933959	0.162219870012957	8.28534826980342	1.1776395979562e-16	1.84475990211756e-14
