Orthogroup	Nvec	Spi	Total
OG0000000	4	223	227
OG0000001	18	208	226
OG0000002	3	171	174
OG0000003	1	168	169
OG0000004	6	132	138
OG0000005	7	108	115
OG0000006	12	88	100
OG0000007	7	91	98
OG0000008	3	95	98
OG0000009	0	94	94
OG0000010	3	85	88
OG0000011	87	0	87
OG0000012	2	80	82
OG0000013	7	72	79
OG0000014	5	68	73
OG0000015	2	67	69
OG0000016	0	67	67
OG0000017	1	61	62
OG0000018	0	62	62
OG0000019	2	58	60
OG0000020	0	57	57
OG0000021	11	45	56
OG0000022	0	56	56
OG0000023	1	54	55
OG0000024	0	55	55
OG0000025	1	53	54
OG0000026	0	54	54
OG0000027	50	0	50
OG0000028	1	49	50
OG0000029	0	50	50
OG0000030	9	40	49
OG0000031	1	48	49
OG0000032	16	32	48
OG0000033	0	48	48
OG0000034	3	43	46
OG0000035	0	44	44
OG0000036	4	39	43
OG0000037	0	43	43
OG0000038	2	40	42
OG0000039	1	41	42
OG0000040	0	42	42
OG0000041	0	42	42
OG0000042	36	5	41
OG0000043	39	1	40
OG0000044	35	5	40
OG0000045	3	37	40
OG0000046	19	20	39
OG0000047	1	38	39
OG0000048	0	39	39
OG0000049	6	32	38
OG0000050	3	34	37
OG0000051	7	30	37
OG0000052	3	33	36
OG0000053	4	32	36
OG0000054	1	35	36
OG0000055	0	36	36
OG0000056	34	1	35
OG0000057	4	30	34
OG0000058	33	1	34
OG0000059	2	32	34
OG0000060	1	32	33
OG0000061	3	30	33
OG0000062	33	0	33
OG0000063	33	0	33
OG0000064	2	31	33
OG0000065	0	33	33
OG0000066	2	30	32
OG0000067	3	28	31
OG0000068	1	29	30
OG0000069	2	28	30
OG0000070	19	10	29
OG0000071	23	6	29
OG0000072	29	0	29
OG0000073	2	27	29
OG0000074	29	0	29
OG0000075	0	29	29
OG0000076	1	27	28
OG0000077	12	16	28
OG0000078	28	0	28
OG0000079	9	19	28
OG0000080	19	8	27
OG0000081	27	0	27
OG0000082	1	26	27
OG0000083	6	21	27
OG0000084	3	24	27
OG0000085	25	1	26
OG0000086	2	24	26
OG0000087	3	23	26
OG0000088	25	1	26
OG0000089	0	26	26
OG0000090	25	0	25
OG0000091	2	23	25
OG0000092	1	24	25
OG0000093	0	25	25
OG0000094	23	1	24
OG0000095	10	14	24
OG0000096	5	19	24
OG0000097	4	20	24
OG0000098	11	13	24
OG0000099	20	4	24
OG0000100	6	18	24
OG0000101	1	23	24
OG0000102	0	24	24
OG0000103	0	24	24
OG0000104	3	20	23
OG0000105	8	15	23
OG0000106	22	0	22
OG0000107	5	17	22
OG0000108	13	9	22
OG0000109	21	1	22
OG0000110	14	8	22
OG0000111	1	21	22
OG0000112	21	1	22
OG0000113	0	22	22
OG0000114	12	9	21
OG0000115	13	8	21
OG0000116	11	10	21
OG0000117	21	0	21
OG0000118	20	1	21
OG0000119	18	2	20
OG0000120	16	4	20
OG0000121	17	3	20
OG0000122	20	0	20
OG0000123	15	5	20
OG0000124	3	17	20
OG0000125	0	20	20
OG0000126	0	20	20
OG0000127	18	1	19
OG0000128	1	18	19
OG0000129	5	14	19
OG0000130	16	3	19
OG0000131	18	1	19
OG0000132	5	14	19
OG0000133	19	0	19
OG0000134	1	18	19
OG0000135	1	18	19
OG0000136	0	19	19
OG0000137	0	19	19
OG0000138	17	1	18
OG0000139	15	3	18
OG0000140	1	17	18
OG0000141	18	0	18
OG0000142	2	16	18
OG0000143	0	18	18
OG0000144	15	2	17
OG0000145	13	4	17
OG0000146	12	5	17
OG0000147	17	0	17
OG0000148	14	3	17
OG0000149	4	13	17
OG0000150	15	2	17
OG0000151	2	15	17
OG0000152	0	17	17
OG0000153	0	17	17
OG0000154	0	17	17
OG0000155	1	15	16
OG0000156	5	11	16
OG0000157	16	0	16
OG0000158	6	10	16
OG0000159	6	10	16
OG0000160	1	15	16
OG0000161	2	14	16
OG0000162	4	12	16
OG0000163	1	15	16
OG0000164	0	16	16
OG0000165	8	7	15
OG0000166	6	9	15
OG0000167	5	10	15
OG0000168	3	12	15
OG0000169	15	0	15
OG0000170	3	12	15
OG0000171	10	5	15
OG0000172	15	0	15
OG0000173	1	14	15
OG0000174	1	14	15
OG0000175	15	0	15
OG0000176	2	13	15
OG0000177	1	14	15
OG0000178	1	14	15
OG0000179	3	12	15
OG0000180	1	14	15
OG0000181	0	15	15
OG0000182	0	15	15
OG0000183	14	0	14
OG0000184	14	0	14
OG0000185	14	0	14
OG0000186	1	13	14
OG0000187	8	6	14
OG0000188	8	6	14
OG0000189	7	7	14
OG0000190	14	0	14
OG0000191	14	0	14
OG0000192	8	6	14
OG0000193	5	9	14
OG0000194	10	4	14
OG0000195	5	9	14
OG0000196	8	6	14
OG0000197	1	13	14
OG0000198	14	0	14
OG0000199	1	13	14
OG0000200	1	13	14
OG0000201	2	12	14
OG0000202	9	5	14
OG0000203	10	4	14
OG0000204	0	14	14
OG0000205	12	1	13
OG0000206	4	9	13
OG0000207	4	9	13
OG0000208	13	0	13
OG0000209	12	1	13
OG0000210	12	1	13
OG0000211	13	0	13
OG0000212	13	0	13
OG0000213	11	2	13
OG0000214	4	9	13
OG0000215	12	1	13
OG0000216	4	9	13
OG0000217	13	0	13
OG0000218	13	0	13
OG0000219	2	11	13
OG0000220	10	3	13
OG0000221	8	5	13
OG0000222	2	11	13
OG0000223	1	12	13
OG0000224	1	12	13
OG0000225	2	11	13
OG0000226	5	8	13
OG0000227	1	12	13
OG0000228	5	8	13
OG0000229	2	11	13
OG0000230	13	0	13
OG0000231	5	8	13
OG0000232	0	13	13
OG0000233	0	13	13
OG0000234	0	13	13
OG0000235	0	13	13
OG0000236	0	13	13
OG0000237	0	13	13
OG0000238	0	13	13
OG0000239	12	0	12
OG0000240	2	10	12
OG0000241	7	5	12
OG0000242	12	0	12
OG0000243	8	4	12
OG0000244	8	4	12
