Go_Term,Ids
GO:0004930,Nvec_vc1.1_XM_001617885.3
GO:0008188,Nvec_vc1.1_XM_001617885.3
GO:0007165,Nvec_vc1.1_XM_001617885.3
GO:0007186,Nvec_vc1.1_XM_001617885.3
GO:0003677,Nvec_vc1.1_XM_001618208.3
GO:0030527,Nvec_vc1.1_XM_001618208.3
GO:0046982,Nvec_vc1.1_XM_001618208.3
GO:0006334,Nvec_vc1.1_XM_001618208.3
GO:0003677,Nvec_vc1.1_XM_001618209.2
GO:0030527,Nvec_vc1.1_XM_001618209.2
GO:0046982,Nvec_vc1.1_XM_001618209.2
GO:0006334,Nvec_vc1.1_XM_001618209.2
GO:0003677,Nvec_vc1.1_XM_001618359.3
GO:0030527,Nvec_vc1.1_XM_001618359.3
GO:0046982,Nvec_vc1.1_XM_001618359.3
GO:0003677,Nvec_vc1.1_XM_001618979.3
GO:0030527,Nvec_vc1.1_XM_001618979.3
GO:0046982,Nvec_vc1.1_XM_001618979.3
GO:0006334,Nvec_vc1.1_XM_001618979.3
GO:0035091,Nvec_vc1.1_XM_001619074.3
GO:0046872,Nvec_vc1.1_XM_001619645.3
GO:0070492,Nvec_vc1.1_XM_001619645.3
GO:0003677,Nvec_vc1.1_XM_001619665.3
GO:0030527,Nvec_vc1.1_XM_001619665.3
GO:0031492,Nvec_vc1.1_XM_001619665.3
GO:0046982,Nvec_vc1.1_XM_001619665.3
GO:0070828,Nvec_vc1.1_XM_001619665.3
GO:0003677,Nvec_vc1.1_XM_001619682.3
GO:0030527,Nvec_vc1.1_XM_001619682.3
GO:0046982,Nvec_vc1.1_XM_001619682.3
GO:0038023,Nvec_vc1.1_XM_001619739.3
GO:0046872,Nvec_vc1.1_XM_001619739.3
GO:0030246,Nvec_vc1.1_XM_001619797.3
GO:0038023,Nvec_vc1.1_XM_001619797.3
GO:0004364,Nvec_vc1.1_XM_001619813.3
GO:0016740,Nvec_vc1.1_XM_001619813.3
GO:0003677,Nvec_vc1.1_XM_001619814.3
GO:0030527,Nvec_vc1.1_XM_001619814.3
GO:0031492,Nvec_vc1.1_XM_001619814.3
GO:0046982,Nvec_vc1.1_XM_001619814.3
GO:0070828,Nvec_vc1.1_XM_001619814.3
GO:0016491,Nvec_vc1.1_XM_001619828.3
GO:0032981,Nvec_vc1.1_XM_001619828.3
GO:0007165,Nvec_vc1.1_XM_001620253.3
GO:0051082,Nvec_vc1.1_XM_001620304.3
GO:0070072,Nvec_vc1.1_XM_001620304.3
GO:0000978,Nvec_vc1.1_XM_001620571.3
GO:0000981,Nvec_vc1.1_XM_001620571.3
GO:0003700,Nvec_vc1.1_XM_001620571.3
GO:0006357,Nvec_vc1.1_XM_001620571.3
GO:0008080,Nvec_vc1.1_XM_001620607.3
GO:0008168,Nvec_vc1.1_XM_001620627.3
GO:0008757,Nvec_vc1.1_XM_001620627.3
GO:0016740,Nvec_vc1.1_XM_001620627.3
GO:0032259,Nvec_vc1.1_XM_001620627.3
GO:0007009,Nvec_vc1.1_XM_001620722.3
GO:0055088,Nvec_vc1.1_XM_001620722.3
GO:0055091,Nvec_vc1.1_XM_001620722.3
GO:0071709,Nvec_vc1.1_XM_001620722.3
GO:0097035,Nvec_vc1.1_XM_001620722.3
GO:0005384,Nvec_vc1.1_XM_001620767.3
GO:0015085,Nvec_vc1.1_XM_001620767.3
GO:0006816,Nvec_vc1.1_XM_001620767.3
GO:0032468,Nvec_vc1.1_XM_001620767.3
GO:0032472,Nvec_vc1.1_XM_001620767.3
GO:0070588,Nvec_vc1.1_XM_001620767.3
GO:0071421,Nvec_vc1.1_XM_001620767.3
GO:0000166,Nvec_vc1.1_XM_001620925.3
GO:0003723,Nvec_vc1.1_XM_001620925.3
GO:0005524,Nvec_vc1.1_XM_001620925.3
GO:0016740,Nvec_vc1.1_XM_001620925.3
GO:0016779,Nvec_vc1.1_XM_001620925.3
GO:0046872,Nvec_vc1.1_XM_001620925.3
GO:1990817,Nvec_vc1.1_XM_001620925.3
GO:0006378,Nvec_vc1.1_XM_001620925.3
GO:0006397,Nvec_vc1.1_XM_001620925.3
GO:0031123,Nvec_vc1.1_XM_001620925.3
GO:0016740,Nvec_vc1.1_XM_001621161.3
GO:0016755,Nvec_vc1.1_XM_001621161.3
GO:0000166,Nvec_vc1.1_XM_001621430.3
GO:0004672,Nvec_vc1.1_XM_001621430.3
GO:0004708,Nvec_vc1.1_XM_001621430.3
GO:0005524,Nvec_vc1.1_XM_001621430.3
GO:0000165,Nvec_vc1.1_XM_001621430.3
GO:0051403,Nvec_vc1.1_XM_001621430.3
GO:0004674,Nvec_vc1.1_XM_001621430.3
GO:0050896,Nvec_vc1.1_XM_001621430.3
GO:0004497,Nvec_vc1.1_XM_001621453.3
GO:0004508,Nvec_vc1.1_XM_001621453.3
GO:0005506,Nvec_vc1.1_XM_001621453.3
GO:0016491,Nvec_vc1.1_XM_001621453.3
GO:0016705,Nvec_vc1.1_XM_001621453.3
GO:0020037,Nvec_vc1.1_XM_001621453.3
GO:0046872,Nvec_vc1.1_XM_001621453.3
GO:0047442,Nvec_vc1.1_XM_001621453.3
GO:0042446,Nvec_vc1.1_XM_001621453.3
GO:0042448,Nvec_vc1.1_XM_001621453.3
GO:0047372,Nvec_vc1.1_XM_001621485.3
GO:0006639,Nvec_vc1.1_XM_001621485.3
GO:0004553,Nvec_vc1.1_XM_001621486.3
GO:0004563,Nvec_vc1.1_XM_001621486.3
GO:0016787,Nvec_vc1.1_XM_001621486.3
GO:0016798,Nvec_vc1.1_XM_001621486.3
GO:0102148,Nvec_vc1.1_XM_001621486.3
GO:0005975,Nvec_vc1.1_XM_001621486.3
GO:0008152,Nvec_vc1.1_XM_001621486.3
GO:0030203,Nvec_vc1.1_XM_001621486.3
GO:0015179,Nvec_vc1.1_XM_001621588.3
GO:0009374,Nvec_vc1.1_XM_001621645.3
GO:0005104,Nvec_vc1.1_XM_001621656.3
GO:0005105,Nvec_vc1.1_XM_001621656.3
GO:0005111,Nvec_vc1.1_XM_001621656.3
GO:0008083,Nvec_vc1.1_XM_001621656.3
