Go_Term,Name
GO:0004930,G protein-coupled receptor activity
GO:0008188,neuropeptide receptor activity
GO:0007165,signal transduction
GO:0007186,G protein-coupled receptor signaling pathway
GO:0003677,DNA binding
GO:0030527,structural constituent of chromatin
GO:0046982,protein heterodimerization activity
GO:0006334,nucleosome assembly
GO:0035091,phosphatidylinositol binding
GO:0046872,metal ion binding
GO:0070492,oligosaccharide binding
GO:0031492,nucleosomal DNA binding
GO:0070828,heterochromatin organization
GO:0038023,signaling receptor activity
GO:0030246,carbohydrate binding
GO:0004364,glutathione transferase activity
GO:0016740,transferase activity
GO:0016491,oxidoreductase activity
GO:0032981,mitochondrial respiratory chain complex I assembly
GO:0051082,unfolded protein binding
GO:0070072,vacuolar proton-transporting V-type ATPase complex assembly
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0003700,DNA-binding transcription factor activity
GO:0006357,regulation of transcription by RNA polymerase II
GO:0008080,N-acetyltransferase activity
GO:0008168,methyltransferase activity
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity
GO:0032259,methylation
GO:0007009,plasma membrane organization
GO:0055088,lipid homeostasis
GO:0055091,phospholipid homeostasis
GO:0071709,membrane assembly
GO:0097035,regulation of membrane lipid distribution
GO:0005384,manganese ion transmembrane transporter activity
GO:0015085,calcium ion transmembrane transporter activity
GO:0006816,calcium ion transport
GO:0032468,Golgi calcium ion homeostasis
GO:0032472,Golgi calcium ion transport
GO:0070588,calcium ion transmembrane transport
GO:0071421,manganese ion transmembrane transport
GO:0000166,nucleotide binding
GO:0003723,RNA binding
GO:0005524,ATP binding
GO:0016779,nucleotidyltransferase activity
GO:1990817,poly(A) RNA polymerase activity
GO:0006378,mRNA polyadenylation
GO:0006397,mRNA processing
GO:0031123,RNA 3'-end processing
GO:0016755,aminoacyltransferase activity
GO:0004672,protein kinase activity
GO:0004708,MAP kinase kinase activity
GO:0000165,MAPK cascade
GO:0051403,stress-activated MAPK cascade
GO:0004674,protein serine/threonine kinase activity
GO:0050896,response to stimulus
GO:0004497,monooxygenase activity
GO:0004508,steroid 17-alpha-monooxygenase activity
GO:0005506,iron ion binding
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0020037,heme binding
GO:0047442,17-alpha-hydroxyprogesterone aldolase activity
GO:0042446,hormone biosynthetic process
GO:0042448,progesterone metabolic process
GO:0047372,acylglycerol lipase activity
GO:0006639,acylglycerol metabolic process
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0004563,beta-N-acetylhexosaminidase activity
GO:0016787,hydrolase activity
GO:0016798,"hydrolase activity, acting on glycosyl bonds"
GO:0102148,N-acetyl-beta-D-galactosaminidase activity
GO:0005975,carbohydrate metabolic process
GO:0008152,metabolic process
GO:0030203,glycosaminoglycan metabolic process
GO:0015179,L-amino acid transmembrane transporter activity
GO:0009374,biotin binding
GO:0005104,fibroblast growth factor receptor binding
