gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,pfam,og,name,TF,STING,cGLR
Spis_XP_022779155_1,1182.021588,2.852802961,0.162758161,6.53794E-70,1.60886E-65,,stress response protein NST1-like,,FALSE,FALSE,FALSE
Spis_XP_022778000_1,4021.601387,3.940135094,0.229720472,9.48649E-68,1.16722E-63,,,,FALSE,FALSE,FALSE
Spis_XP_022777999_1,2698.874273,3.997216315,0.242717231,8.75479E-63,7.18126E-59,,,,FALSE,FALSE,FALSE
Spis_XP_022793898_1,1391.049897,3.97784126,0.244253359,1.8233E-61,1.12169E-57,,,,FALSE,FALSE,FALSE
Spis_XP_022786811_1,859.0644008,3.775052244,0.23307619,1.08782E-60,5.3538E-57,,,,FALSE,FALSE,FALSE
Spis_XP_022809744_1,1276.307808,3.753026019,0.235002019,4.36803E-59,1.79147E-55,,,,FALSE,FALSE,FALSE
Spis_XP_022794205_1,918.2924732,3.731466794,0.23411689,7.53017E-59,2.64718E-55,,bZIP.like:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL,,TRUE,FALSE,FALSE
Spis_XP_022807466_1,5157.73129,5.162554568,0.327415297,2.12367E-58,6.53241E-55,ubiquitin/,ubiquitin_B,,FALSE,FALSE,FALSE
Spis_XP_022800334_1,1337.752292,4.28094263,0.274566748,7.77591E-57,2.12611E-53,,,,FALSE,FALSE,FALSE
Spis_XP_022790073_1,7947.613368,3.430114949,0.220183925,3.74914E-56,9.22589E-53,GBP/GBP_C/,guanylate_binding_protein_7,,FALSE,FALSE,FALSE
Spis_XP_022777900_1,890.211512,3.764485041,0.243433365,1.25568E-55,2.80908E-52,,,,FALSE,FALSE,FALSE
Spis_XP_022791098_1,1643.552802,4.466438095,0.294983075,6.4222E-54,1.31698E-50,,bZIP.like:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL,,TRUE,FALSE,FALSE
Spis_XP_022809271_1,338.7651197,3.456957361,0.227702997,1.63319E-53,3.0915E-50,,,,FALSE,FALSE,FALSE
Spis_XP_022797663_1,6468.066291,3.887066243,0.257732311,3.59382E-53,6.31691E-50,zf-C3HC4/zf-TRAF/zf-TRAF/,TNF_receptor_associated_factor_6,,FALSE,FALSE,FALSE
Spis_XP_022785492_1,4974.340107,3.870007723,0.260481046,1.08174E-51,1.77463E-48,UPA/,unc_5_netrin_receptor_C,,FALSE,FALSE,FALSE
Spis_XP_022803668_1,2930.582678,4.056043137,0.273602967,1.30686E-51,2.00996E-48,Mab-21/,mitochondrial_elongation_factor_1,,FALSE,FALSE,TRUE
Spis_XP_022784817_1,198.0885201,3.314459875,0.223962167,6.51204E-51,9.42637E-48,,,,FALSE,FALSE,FALSE
Spis_Spis25897_1,360.7790176,4.656895379,0.323704866,3.79862E-49,5.19313E-46,,,,FALSE,FALSE,FALSE
Spis_XP_022777727_1,2076.590075,3.698885256,0.255716041,4.65931E-49,6.03455E-46,zf-C3HC4_3/zf-C3HC4_3/,mindbomb_E3_ubiquitin_protein_ligase_2,,FALSE,FALSE,FALSE
Spis_XP_022787999_1,1000.750266,3.065170264,0.21153127,8.49148E-49,1.04479E-45,,,,FALSE,FALSE,FALSE
Spis_XP_022799507_1,1094.981777,2.564365858,0.177208808,1.24152E-48,1.45483E-45,TNFR_c6/,,,FALSE,FALSE,FALSE
Spis_XP_022793029_1,5420.020522,4.584698286,0.321556163,2.59033E-48,2.8974E-45,RdRP/,probable RNA-dependent RNA polymerase 1,,FALSE,FALSE,FALSE
