"","Nvec","classification","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","protein","domain"
"1","Nvec_NVE12939","Conserved","Nvec-NVE12939",1.87454699307929e-227,5.90460810458566,0.158,0.006,3.0995634530566e-223,"","Macin/"
"2","Nvec_NVE13160","Nematostella-specific","Nvec-NVE13160",7.32417786327458e-75,-0.594468973381195,0.327,0.517,1.21105280969245e-70,"CFL1","Cofilin_ADF/"
"3","Nvec_NVE13521","Nematostella-specific","Nvec-NVE13521",1.35884126341008e-22,1.72449798965332,0.05,0.015,2.24684402904856e-18,"","PID/"
"4","Nvec_NVE13633","Divergent","Nvec-NVE13633",3.38075760467484e-09,-1.21594516566622,0.019,0.041,5.59008269932985e-05,"",""
"5","Nvec_NVE14199","Conserved","Nvec-NVE14199",1.28910260476271e-246,3.35803757960866,0.229,0.024,2.13153115697514e-242,"","CECR6_TMEM121/"
"6","Nvec_NVE16333","Conserved","Nvec-NVE16333",3.20461973226533e-32,3.93976597655639,0.027,0.002,5.29883872730073e-28,"",""
"7","Nvec_NVE18114","Nematostella-specific","Nvec-NVE18114",8.81629573651425e-13,-0.168755873159105,0.408,0.479,1.45777450003263e-08,"COX7A2",""
"8","Nvec_NVE19724","Conserved","Nvec-NVE19724",2.5350163125623e-160,-0.781002729004647,0.486,0.747,4.19164947282177e-156,"","Death/"
"9","Nvec_NVE19743","Conserved","Nvec-NVE19743",7.59359046793368e-62,-0.521194903931441,0.567,0.724,1.25560018387283e-57,"","HLH/"
"10","Nvec_NVE20529","Nematostella-specific","Nvec-NVE20529",5.05376519945728e-08,2.10258435275927,0.014,0.003,0.000835640075730262,"",""
"11","Nvec_NVE20907","Conserved","Nvec-NVE20907",7.72189438051237e-128,-1.6545455147206,0.104,0.309,1.27681523581772e-123,"","Synaphin/"
"12","Nvec_NVE20918","Nematostella-specific","Nvec-NVE20918",3.17164030322245e-13,-2.44636596075861,0.006,0.025,5.24430724137832e-09,"",""
"13","Nvec_NVE22144","Nematostella-specific","Nvec-NVE22144",3.32652575027794e-180,3.70323683584239,0.168,0.017,5.50041032808457e-176,"GNG2","G-gamma/"
"14","Nvec_NVE22238","Nematostella-specific","Nvec-NVE22238",1.31955485310197e-18,-1.09414485752375,0.043,0.091,2.18188394960412e-14,"",""
"15","Nvec_NVE23569","Nematostella-specific","Nvec-NVE23569",1.61862527988547e-26,-1.0561807845288,0.067,0.137,2.67639690029063e-22,"",""
"16","Nvec_NVE23841","Conserved","Nvec-NVE23841",7.37042484700651e-138,-0.662769962142351,0.664,0.84,1.21869974845253e-133,"SOX14","HMG_box/"
"17","Nvec_NVE25375","Nematostella-specific","Nvec-NVE25375",3.26033589322114e-13,-1.00926306854274,0.041,0.078,5.39096539944115e-09,"GNG7","G-gamma/"
"18","Nvec_NVE428","Conserved","Nvec-NVE428",8.46723657386532e-14,-0.904312051506742,0.039,0.077,1.40005756748863e-09,"",""
"19","Nvec_NVE4470","Nematostella-specific","Nvec-NVE4470",2.02011460775007e-38,6.92541068357932,0.023,0,3.34025950391475e-34,"",""
"20","Nvec_NVE5801","Conserved","Nvec-NVE5801",3.04350871467481e-34,-1.77801006019521,0.023,0.081,5.0324416597148e-30,"",""
"21","Nvec_NVE6615","Conserved","Nvec-NVE6615",0,2.54479196741842,0.857,0.342,0,"",""
"22","Nvec_NVE6867","Nematostella-specific","Nvec-NVE6867",7.28949730794589e-11,2.37776980906389,0.016,0.003,1.20531837986885e-06,"",""
"23","Nvec_NVE815","Conserved","Nvec-NVE815",9.22935460647712e-37,-1.06465029238942,0.092,0.185,1.52607378418099e-32,"TMEM42",""
"24","Nvec_NVE8793","Nematostella-specific","Nvec-NVE8793",1.76910333022811e-06,-1.45541110036161,0.007,0.019,0.0292521235653218,"",""
"25","Nvec_v1g111827","Nematostella-specific","Nvec-v1g111827",3.42332212608274e-12,2.21269263565979,0.026,0.009,5.6604631354778e-08,"ADGRL3","Gal_Lectin/"
"26","Nvec_v1g114897","Nematostella-specific","Nvec-v1g114897",3.63980910682103e-38,-0.55017909283486,0.496,0.605,6.01842435812857e-34,"BANF1","BAF/"
"27","Nvec_v1g124307","Conserved","Nvec-v1g124307",3.22689511284534e-10,-0.546733885279082,0.083,0.125,5.33567106908977e-06,"TMEM70","TMEM70/"
"28","Nvec_v1g125757","Nematostella-specific","Nvec-v1g125757",1.86992637375059e-08,-0.86572176869252,0.032,0.058,0.000309192325899661,"RAD17","Rad17/"
"29","Nvec_v1g127536","Nematostella-specific","Nvec-v1g127536",1.13103505325132e-33,1.48982580689639,0.074,0.023,1.87016646055106e-29,"TSTD1","Rhodanese/"
"30","Nvec_v1g128929","Nematostella-specific","Nvec-v1g128929",3.32463126225014e-15,-1.95110626298568,0.008,0.033,5.49727779213061e-11,"TCTEX1D1","Tctex-1/"
"31","Nvec_v1g129606","Conserved","Nvec-v1g129606",3.31921822497743e-08,-1.00265393513361,0.016,0.035,0.000548832733500018,"KCNK9","Ion_trans_2/Ion_trans_2/"
"32","Nvec_v1g132004","Nematostella-specific","Nvec-v1g132004",3.90985243972558e-190,2.31962862379598,0.279,0.068,6.46494100908625e-186,"BRI3","DUF2367/"
"33","Nvec_v1g160811","Conserved","Nvec-v1g160811",5.3471564687493e-71,-0.366031673607154,0.548,0.723,8.84152322107698e-67,"TMSB4X","Thymosin/"
"34","Nvec_v1g167588","Nematostella-specific","Nvec-v1g167588",1.18322723927056e-21,-1.10995446997801,0.049,0.104,1.95646624013387e-17,"MED9","Med9/"
"35","Nvec_v1g175004","Nematostella-specific","Nvec-v1g175004",9.18157926409649e-52,-1.04101465643253,0.122,0.248,1.51817413131836e-47,"FHIT","HIT/"
"36","Nvec_v1g176973","Nematostella-specific","Nvec-v1g176973",1.41605711251103e-23,-0.481406308894559,0.305,0.404,2.34145043553698e-19,"CDC42SE2","PBD/"
"37","Nvec_v1g188609","Nematostella-specific","Nvec-v1g188609",4.09798949029728e-47,-1.09751052226025,0.105,0.218,6.77602562220656e-43,"",""
