"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","protein","domain"
"Nvec-vc1.1-XM-001641466.3",1.46391509973762e-163,1.44135683627053,0.884,0.487,2.42058361741615e-159,"0","Nvec-vc1.1-XM-001641466.3","ZCCHC24","zf-3CxxC_2/"
"Nvec-vc1.1-XM-032378741.2",5.70112140862569e-126,1.11262786058147,0.895,0.565,9.42680424916258e-122,"0","Nvec-vc1.1-XM-032378741.2","UMOD","EGF/Zona_pellucida/"
"Nvec-vc1.1-XM-032364690.2",5.32924749848652e-110,-5.46068945386993,0.036,0.331,8.81191073874746e-106,"0","Nvec-vc1.1-XM-032364690.2","",""
"Nvec-vc1.1-XM-001626643.3",3.24377275166204e-104,0.952548057154619,0.9,0.613,5.36357824487319e-100,"0","Nvec-vc1.1-XM-001626643.3","PPA1","Pyrophosphatase/"
"Nvec-vc1.1-XM-032362159.2",1.41014685117211e-95,-4.43535330075073,0.024,0.282,2.33167781841308e-91,"0","Nvec-vc1.1-XM-032362159.2","",""
"Nvec-vc1.1-XM-001639517.3",1.03468568880951e-90,-4.67781788993382,0.034,0.287,1.71085278644653e-86,"0","Nvec-vc1.1-XM-001639517.3","SBSPON","TSP1_spondin/"
"Nvec-vc1.1-XM-001628289.3",1.91024305287064e-90,1.06554894230573,0.829,0.556,3.15858688792161e-86,"0","Nvec-vc1.1-XM-001628289.3","",""
"Nvec-vc1.1-XM-001624688.3",1.90150051076197e-87,-3.46192251394805,0.037,0.29,3.14413109454492e-83,"0","Nvec-vc1.1-XM-001624688.3","CALU","EF-hand_5/EF-hand_5/EF-hand_5/"
"Nvec-vc1.1-XM-048728800.1",2.35538752352493e-87,-4.12898381559196,0.078,0.354,3.89463327014847e-83,"0","Nvec-vc1.1-XM-048728800.1","",""
"Nvec-vc1.1-XM-032383755.2",1.32220764428038e-85,-5.12041015248617,0.037,0.279,2.18627033981761e-81,"0","Nvec-vc1.1-XM-032383755.2","FST","Kazal_1/Kazal_2/Kazal_2/"
"Nvec-vc1.1-XM-001636879.3",7.06138200403026e-83,1.32511094471397,0.638,0.311,1.1675995143664e-78,"0","Nvec-vc1.1-XM-001636879.3","SOCS2","SH2/SOCS_box/"
"Nvec-vc1.1-XM-048726615.1",3.18327841589755e-82,1.02439744294305,0.827,0.616,5.2635508606866e-78,"0","Nvec-vc1.1-XM-048726615.1","DZIP3","HEPN_DZIP3/NACHT/LRR_6/LRR_6/LRR_6/LRR_6/"
"Nvec-vc1.1-XM-048724900.1",9.31643293848568e-82,1.56215800375317,0.575,0.259,1.54047218637861e-77,"0","Nvec-vc1.1-XM-048724900.1","",""
"Nvec-vc1.1-XM-001634267.3",4.47981254085507e-81,-4.19983443196331,0.035,0.272,7.40737003630385e-77,"0","Nvec-vc1.1-XM-001634267.3","VWA7",""
"Nvec-vc1.1-XM-001639565.3",8.36859398724449e-81,-3.76257153634099,0.05,0.294,1.38374701579088e-76,"0","Nvec-vc1.1-XM-001639565.3","",""
"Nvec-vc1.1-XM-001636832.3",4.10495662475638e-79,0.387301289017157,0.998,0.994,6.78754577903468e-75,"0","Nvec-vc1.1-XM-001636832.3","RPL23","Ribosomal_L14/"
"Nvec-NVE814",5.69481963443181e-79,0.844254624585089,0.937,0.71,9.416384265533e-75,"0","Nvec-NVE814","",""
"Nvec-vc1.1-XM-001633450.3",2.60421575924007e-78,0.364664074272994,1,0.995,4.30607075790345e-74,"0","Nvec-vc1.1-XM-001633450.3","RPS27","Ribosomal_S27e/"
"Nvec-vc1.1-XM-001626345.3",1.90246163098774e-77,0.378584816948234,0.999,0.993,3.14572030683822e-73,"0","Nvec-vc1.1-XM-001626345.3","RPS17","Ribosomal_S17e/"
"Nvec-NVE23841",2.52183580795204e-77,0.854533740471011,0.829,0.485,4.1698555084487e-73,"0","Nvec-NVE23841","SOX14","HMG_box/"
"Nvec-vc1.1-XM-001628602.3",1.71160198772991e-76,-2.96763899586323,0.166,0.43,2.83013388671141e-72,"0","Nvec-vc1.1-XM-001628602.3","COTL1","Cofilin_ADF/"
"Nvec-vc1.1-XM-001629513.3",5.71219607532288e-74,0.803714065918249,0.876,0.678,9.44511621054638e-70,"0","Nvec-vc1.1-XM-001629513.3","",""
"Nvec-vc1.1-XM-032364167.2",4.26842139135315e-73,0.368207816706144,1,0.992,7.05783477060243e-69,"0","Nvec-vc1.1-XM-032364167.2","RPS5","Ribosomal_S7/"
"Nvec-vc1.1-XM-032384391.2",4.72817850699377e-72,0.381351760477583,0.999,0.994,7.8180431613142e-68,"0","Nvec-vc1.1-XM-032384391.2","RPL27","Ribosomal_L27e/"
"Nvec-vc1.1-XM-048724800.1",1.39011676747437e-71,0.39927748373617,0.999,0.989,2.29855807501887e-67,"0","Nvec-vc1.1-XM-048724800.1","RBM3","RRM_1/"
"Nvec-vc1.1-XM-001637780.3",7.60714802226105e-70,0.332755188328208,0.999,0.99,1.25784192548086e-65,"0","Nvec-vc1.1-XM-001637780.3","RPS15","Ribosomal_S19/"
"Nvec-vc1.1-XM-001641997.3",1.21922850909428e-69,0.400731577882343,1,0.99,2.01599433978739e-65,"0","Nvec-vc1.1-XM-001641997.3","RPL12","Ribosomal_L11_N/Ribosomal_L11/"
"Nvec-vc1.1-XM-001629132.3",1.24025874559259e-69,0.316087794730547,1,0.998,2.05076783583735e-65,"0","Nvec-vc1.1-XM-001629132.3","RPS16","Ribosomal_S9/"
"Nvec-vc1.1-XM-001636404.3",6.20156180552155e-69,0.354025552282764,1,0.988,1.02542824454299e-64,"0","Nvec-vc1.1-XM-001636404.3","RPL18A","Ribosomal_L18A/"
"Nvec-vc1.1-XM-001638152.3",7.99728969415545e-69,0.534731597626688,0.996,0.891,1.3223518509286e-64,"0","Nvec-vc1.1-XM-001638152.3","TXN","Thioredoxin/"
"Nvec-vc1.1-XM-001633762.3",2.16398917081018e-68,0.487808733828647,0.999,0.969,3.57815609393463e-64,"0","Nvec-vc1.1-XM-001633762.3","HMGB3","HMG_box/HMG_box/"
"Nvec-vc1.1-XM-001623084.3",1.93642108315559e-67,-2.83970512581625,0.047,0.264,3.20187226099777e-63,"0","Nvec-vc1.1-XM-001623084.3","SIX4","SIX1_SD/Homeodomain/"
"Nvec-vc1.1-XM-001633510.3",2.8806789295994e-67,-3.40327760096238,0.044,0.259,4.7632026100926e-63,"0","Nvec-vc1.1-XM-001633510.3","MARCHF1","RINGv/"
"Nvec-vc1.1-XM-048732173.1",1.1511858919063e-66,0.348807731040754,0.999,0.997,1.90348587226707e-62,"0","Nvec-vc1.1-XM-048732173.1","UBA52","ubiquitin/Ribosomal_L40e/"
"Nvec-vc1.1-XM-032372463.2",3.47818305510077e-66,1.18391296509449,0.626,0.341,5.75117568160913e-62,"0","Nvec-vc1.1-XM-032372463.2","CLPTM1L","CLPTM1/"
"Nvec-vc1.1-XM-001629287.3",8.78498174417722e-64,0.558055214457969,0.981,0.924,1.4525967313997e-59,"0","Nvec-vc1.1-XM-001629287.3","PRDX5","Redoxin/"
"Nvec-vc1.1-XM-001628947.3",2.21502161319153e-63,0.33242611452367,1,0.994,3.6625382374122e-59,"0","Nvec-vc1.1-XM-001628947.3","RPS18","Ribosomal_S13/"
"Nvec-NVE4021",2.03910317844419e-62,0.33900167276026,1,0.999,3.37165710555746e-58,"0","Nvec-NVE4021","",""
"Nvec-vc1.1-XM-048726226.1",4.63143026090635e-62,-2.02727959030138,0.151,0.406,7.65806993640865e-58,"0","Nvec-vc1.1-XM-048726226.1","","Laminin_G_3/"
"Nvec-vc1.1-XM-048733926.1",2.19727808120825e-61,0.537232706391795,0.993,0.956,3.63319930727784e-57,"0","Nvec-vc1.1-XM-048733926.1","HPGDS","GST_N/GST_C_3/"
"Nvec-vc1.1-XM-001640516.3",5.35597119292006e-61,0.357263695226268,0.999,0.989,8.85609836749331e-57,"0","Nvec-vc1.1-XM-001640516.3","RPS27A","ubiquitin/Ribosomal_S27/"
"Nvec-vc1.1-XM-001638285.3",1.70853498538364e-60,0.305628563606666,1,0.998,2.82506259833184e-56,"0","Nvec-vc1.1-XM-001638285.3","RPL30","Ribosomal_L7Ae/"
"Nvec-vc1.1-XM-001623716.3",5.713355711891e-60,0.363487932690314,0.999,0.988,9.44703366961177e-56,"0","Nvec-vc1.1-XM-001623716.3","H3_3B","Histone/"
"Nvec-vc1.1-XM-048729831.1",7.92228927366944e-60,1.03816617800853,0.66,0.38,1.30995053140124e-55,"0","Nvec-vc1.1-XM-048729831.1","ECE2","Peptidase_M13_N/Peptidase_M13/"
"Nvec-vc1.1-XM-001628129.2",9.01261539414164e-60,0.527907041616997,0.973,0.88,1.49023595542132e-55,"0","Nvec-vc1.1-XM-001628129.2","","PLAC8/"
"Nvec-vc1.1-XM-001622452.3",1.0594666049245e-59,0.76335793404013,0.589,0.289,1.75182803124265e-55,"0","Nvec-vc1.1-XM-001622452.3","","Polysacc_deac_1/"
"Nvec-vc1.1-XM-001635429.3",2.17505640783604e-59,0.346626948517788,0.999,0.99,3.5964557703569e-55,"0","Nvec-vc1.1-XM-001635429.3","RPL28","Ribosomal_L28e/"
"Nvec-vc1.1-XM-048719683.1",2.36772168754666e-59,0.398194485774089,0.998,0.987,3.9150278103584e-55,"0","Nvec-vc1.1-XM-048719683.1","RPL3","Ribosomal_L3/"
"Nvec-vc1.1-XM-048729832.1",5.92818278149827e-59,1.0440107769663,0.616,0.333,9.80225022920739e-55,"0","Nvec-vc1.1-XM-048729832.1","UBB","ubiquitin/"
"Nvec-vc1.1-XM-001639258.2",1.21855065631064e-58,0.340024606913163,1,0.992,2.01487351020965e-54,"0","Nvec-vc1.1-XM-001639258.2","RPL7A","Ribosomal_L7Ae/"
"Nvec-v1g238986",3.28255564027144e-58,1.15113539000703,0.61,0.372,5.42770575118882e-54,"0","Nvec-v1g238986","",""
"Nvec-vc1.1-XM-032364189.2",1.30935923569047e-57,-3.03215394453393,0.071,0.276,2.16502549621419e-53,"0","Nvec-vc1.1-XM-032364189.2","OIT3","Gal_Lectin/"
"Nvec-vc1.1-XM-001640277.3",2.23061578788353e-57,0.257354261947729,1,0.997,3.68832320526541e-53,"0","Nvec-vc1.1-XM-001640277.3","RPL10","Ribosomal_L16/"
"Nvec-vc1.1-XM-001641809.2",2.47295056817168e-57,0.310286931799979,1,0.992,4.08902376447187e-53,"0","Nvec-vc1.1-XM-001641809.2","RPS3","KH_2/Ribosomal_S3_C/"
"Nvec-vc1.1-XM-032371552.2",2.69813558543672e-57,1.31394703316772,0.496,0.237,4.46136719051962e-53,"0","Nvec-vc1.1-XM-032371552.2","","MMR_HSR1/"
"Nvec-vc1.1-XM-001641391.3",6.04664217158887e-57,0.327755615055681,0.999,0.997,9.99812283072219e-53,"0","Nvec-vc1.1-XM-001641391.3","RPS26","Ribosomal_S26e/"
"Nvec-vc1.1-XM-001639609.3",1.11430647198033e-56,0.300476849959144,1,0.996,1.84250575141947e-52,"0","Nvec-vc1.1-XM-001639609.3","RPL27A","Ribosomal_L27A/"
"Nvec-NVE22144",1.20922269017565e-56,-2.44129414577945,0.069,0.276,1.99944971820544e-52,"0","Nvec-NVE22144","GNG2","G-gamma/"
"Nvec-vc1.1-XM-001629514.3",4.73277073600841e-56,1.11592568752087,0.637,0.429,7.82563641198991e-52,"0","Nvec-vc1.1-XM-001629514.3","",""
"Nvec-vc1.1-XM-001637638.3",5.76039972144935e-56,0.308605940296146,1,0.992,9.52482093941649e-52,"0","Nvec-vc1.1-XM-001637638.3","RPL17_C18orf32","Ribosomal_L22/"
"Nvec-vc1.1-XM-001622175.3",1.36221794069688e-55,0.264363070350315,1,0.998,2.25242736494229e-51,"0","Nvec-vc1.1-XM-001622175.3","RPL19","Ribosomal_L19e/"
"Nvec-vc1.1-XM-001639563.2",1.86571893599358e-55,-1.57108505511327,0.181,0.433,3.08496626066539e-51,"0","Nvec-vc1.1-XM-001639563.2","HM13","Peptidase_A22B/"
"Nvec-vc1.1-XM-001639785.3",2.4329769669719e-55,-3.16132694303281,0.082,0.288,4.02292741488803e-51,"0","Nvec-vc1.1-XM-001639785.3","SVEP1","Pentaxin/"
"Nvec-vc1.1-XM-001639516.3",2.73907534863731e-55,0.320867355746553,1,0.997,4.52906108897179e-51,"0","Nvec-vc1.1-XM-001639516.3","RPLP2","Ribosomal_60s/"
"Nvec-vc1.1-XM-001640352.3",3.39556369090037e-55,0.294240256431364,1,0.996,5.61456456290376e-51,"0","Nvec-vc1.1-XM-001640352.3","RPS15A","Ribosomal_S8/"
"Nvec-vc1.1-XM-032363357.2",7.0238692354706e-55,-2.40718364940366,0.066,0.268,1.16139677808506e-50,"0","Nvec-vc1.1-XM-032363357.2","A1CF","RRM_1/RRM_1/RRM_1/DND1_DSRM/"
"Nvec-vc1.1-XM-001639576.3",1.87027155713835e-54,0.2828669609934,1,0.994,3.09249401972826e-50,"0","Nvec-vc1.1-XM-001639576.3","RPL23A","Ribosomal_L23eN/Ribosomal_L23/"
"Nvec-vc1.1-XM-001635407.3",1.29552116595178e-52,0.52338016518219,0.965,0.89,2.14214424790127e-48,"0","Nvec-vc1.1-XM-001635407.3","DDX39B","DEAD/Helicase_C/"
"Nvec-vc1.1-XM-032374944.2",1.07983905089172e-51,0.354571461557177,0.999,0.987,1.78551387064945e-47,"0","Nvec-vc1.1-XM-032374944.2","RBM3","RRM_1/"
"Nvec-vc1.1-XM-001637168.3",2.38749571290531e-51,0.365458729449315,0.999,0.976,3.94772416128893e-47,"0","Nvec-vc1.1-XM-001637168.3","BTF3L4","NAC/"
"Nvec-vc1.1-XM-048731241.1",5.64539416263505e-51,1.02861821686462,0.579,0.326,9.33465924791705e-47,"0","Nvec-vc1.1-XM-048731241.1","DMBT1","Astacin/SRCR/SRCR/SRCR/"
